playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Xherdan Shaqiri,/xherdan-shaqiri/profil/spieler/86792,26,AM,Switzerland,4000000,14700000,Stoke City,/stoke-city/startseite/verein/512,Liverpool FC,/fc-liverpool/startseite/verein/31,in,2018,-10700000,31.0,1.69,left,ENG-Premier League,Stoke City,Xherdan Shaqiri,SUI,"MF,FW",25.0,1991.0,33.8,1594.0,5.0,155.0,755.0,720.0,51.0,1593.0,68.0,39.0,57.4,29.0,42.6,1065.0,6889.0,2896.0,81.0,72.0,17.0,99.0,57.0,1082.0,183.0,2018
Ragnar Klavan,/ragnar-klavan/profil/spieler/26669,32,CB,Estonia,100000,1520000,Liverpool FC,/fc-liverpool/startseite/verein/31,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,out,2018,-1420000,37.0,1.87,left,ENG-Premier League,Liverpool,Ragnar Klavan,EST,DF,31.0,1985.0,16.1,1359.0,88.0,606.0,723.0,36.0,6.0,1359.0,5.0,4.0,80.0,1.0,20.0,810.0,4692.0,2854.0,15.0,8.0,0.0,8.0,2.0,989.0,5.0,2018
Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279,23,GK,Spain,18000000,80000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-62000000,28.0,1.86,right,ESP-La Liga,Athletic Club,Kepa Arrizabalaga,ESP,GK,22.0,1994.0,30.0,1114.0,927.0,1112.0,2.0,0.0,0.0,1114.0,0.0,0.0,,0.0,,591.0,3678.0,2457.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,2018
Christian Pulisic,/christian-pulisic/profil/spieler/315779,20,LW,United States,25000000,64000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-39000000,24.0,1.77,right,GER-Bundesliga,Dortmund,Christian Pulisic,USA,"FW,DF",18.0,1998.0,25.6,1230.0,7.0,111.0,508.0,639.0,126.0,1230.0,182.0,77.0,42.3,105.0,57.7,834.0,6637.0,3570.0,152.0,86.0,57.0,50.0,53.0,961.0,257.0,2018
Jorginho,/jorginho/profil/spieler/102017,26,DM,Italy,25000000,57000000,SSC Napoli,/ssc-neapel/startseite/verein/6195,Chelsea FC,/fc-chelsea/startseite/verein/631,in,2018,-32000000,31.0,1.78,right,ITA-Serie A,Napoli,Jorginho,ITA,MF,25.0,1991.0,29.4,3456.0,42.0,429.0,2496.0,548.0,5.0,3454.0,18.0,12.0,66.7,6.0,33.3,2003.0,6653.0,3685.0,36.0,47.0,1.0,29.0,22.0,2846.0,32.0,2018
Thibaut Courtois,/thibaut-courtois/profil/spieler/108390,26,GK,Belgium,45000000,35000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Real Madrid,/real-madrid/startseite/verein/418,out,2018,10000000,31.0,2.0,left,ENG-Premier League,Chelsea,Thibaut Courtois,BEL,GK,25.0,1992.0,35.0,1250.0,1140.0,1246.0,4.0,0.0,0.0,1250.0,0.0,0.0,,0.0,,635.0,4072.0,2260.0,0.0,0.0,0.0,1.0,0.0,615.0,0.0,2018
Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806,31,CM,Spain,0,9000000,Chelsea FC,/fc-chelsea/startseite/verein/631,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-9000000,36.0,1.79,right,ENG-Premier League,Chelsea,Cesc Fàbregas,ESP,MF,30.0,1987.0,25.6,2553.0,51.0,401.0,1288.0,887.0,66.0,2553.0,24.0,18.0,75.0,6.0,25.0,1481.0,5986.0,3227.0,55.0,53.0,6.0,21.0,24.0,1854.0,135.0,2018
Lucas Torreira,/lucas-torreira/profil/spieler/318077,22,DM,Uruguay,15000000,28650000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-13650000,27.0,1.66,right,ITA-Serie A,Sampdoria,Lucas Torreira,URU,MF,21.0,1996.0,35.3,2675.0,89.0,500.0,1788.0,419.0,10.0,2675.0,44.0,35.0,79.5,9.0,20.5,1215.0,5250.0,2447.0,24.0,24.0,4.0,39.0,35.0,1687.0,43.0,2018
Bernd Leno,/bernd-leno/profil/spieler/72476,26,GK,Germany,12000000,25000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-13000000,31.0,1.9,right,GER-Bundesliga,Leverkusen,Bernd Leno,GER,GK,25.0,1992.0,33.0,1305.0,1079.0,1298.0,7.0,0.0,0.0,1305.0,0.0,0.0,,0.0,,768.0,4409.0,2547.0,0.0,0.0,0.0,1.0,0.0,641.0,0.0,2018
Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322,30,CB,Greece,1000000,16000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Arsenal FC,/fc-arsenal/startseite/verein/11,in,2018,-15000000,35.0,1.86,right,GER-Bundesliga,Dortmund,Sokratis Papastathopoulos,GRE,DF,29.0,1988.0,26.4,2190.0,120.0,762.0,1337.0,104.0,15.0,2190.0,9.0,7.0,77.8,2.0,22.2,1341.0,6991.0,4503.0,27.0,30.0,0.0,8.0,6.0,1550.0,10.0,2018
Joel Campbell,/joel-campbell/profil/spieler/131248,26,RW,Costa Rica,1500000,1500000,Arsenal FC,/fc-arsenal/startseite/verein/11,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,out,2018,0,31.0,1.78,left,ESP-La Liga,Betis,Joel Campbell,CRC,"MF,FW",25.0,1992.0,2.4,130.0,1.0,12.0,48.0,74.0,11.0,130.0,14.0,9.0,64.3,5.0,35.7,109.0,775.0,366.0,14.0,10.0,7.0,9.0,8.0,110.0,26.0,2018
Joe Hart,/joe-hart/profil/spieler/40204,31,GK,England,1500000,3900000,Manchester City,/manchester-city/startseite/verein/281,Burnley FC,/fc-burnley/startseite/verein/1132,in,2018,-2400000,36.0,1.96,right,ENG-Premier League,West Ham,Joe Hart,ENG,GK,30.0,1987.0,19.0,645.0,518.0,632.0,13.0,0.0,0.0,645.0,1.0,1.0,100.0,0.0,0.0,264.0,2087.0,1502.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,2018
Sam Vokes,/sam-vokes/profil/spieler/48078,29,CF,Wales,275000,8000000,Burnley FC,/fc-burnley/startseite/verein/1132,Stoke City,/stoke-city/startseite/verein/512,out,2018,-7725000,33.0,1.86,right,ENG-Premier League,Burnley,Sam Vokes,WAL,FW,27.0,1989.0,11.1,379.0,17.0,28.0,169.0,184.0,59.0,379.0,1.0,1.0,100.0,0.0,0.0,140.0,435.0,101.0,3.0,3.0,0.0,29.0,16.0,304.0,62.0,2018
Yerry Mina,/yerry-mina/profil/spieler/289446,23,CB,Colombia,10000000,30250000,FC Barcelona,/fc-barcelona/startseite/verein/131,Everton FC,/fc-everton/startseite/verein/29,in,2018,-20250000,28.0,1.95,right,ESP-La Liga,Barcelona,Yerry Mina,COL,DF,22.0,1994.0,4.1,285.0,33.0,127.0,148.0,10.0,3.0,285.0,1.0,1.0,100.0,0.0,0.0,212.0,1157.0,763.0,8.0,2.0,0.0,1.0,2.0,211.0,0.0,2018
Lucas Digne,/lucas-digne/profil/spieler/126664,25,LB,France,15000000,20200000,FC Barcelona,/fc-barcelona/startseite/verein/131,Everton FC,/fc-everton/startseite/verein/29,in,2018,-5200000,29.0,1.78,left,ESP-La Liga,Barcelona,Lucas Digne,FRA,DF,24.0,1993.0,7.8,644.0,28.0,186.0,298.0,164.0,19.0,644.0,7.0,4.0,57.1,3.0,42.9,375.0,1720.0,1081.0,22.0,12.0,4.0,8.0,5.0,399.0,77.0,2018
Davy Klaassen,/davy-klaassen/profil/spieler/182932,25,AM,Netherlands,10000000,13500000,Everton FC,/fc-everton/startseite/verein/29,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,out,2018,-3500000,30.0,1.79,right,ENG-Premier League,Everton,Davy Klaassen,NED,"MF,FW",24.0,1993.0,2.8,122.0,1.0,21.0,59.0,44.0,3.0,122.0,1.0,0.0,0.0,1.0,100.0,52.0,176.0,82.0,1.0,3.0,0.0,4.0,1.0,77.0,4.0,2018
Ramiro Funes Mori,/ramiro-funes-mori/profil/spieler/11111,27,CB,Argentina,1000000,9000000,Everton FC,/fc-everton/startseite/verein/29,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-8000000,32.0,1.87,left,ENG-Premier League,Everton,Ramiro Funes Mori,ARG,DF,26.0,1991.0,1.3,75.0,8.0,43.0,30.0,3.0,1.0,75.0,0.0,0.0,,0.0,,37.0,211.0,114.0,2.0,2.0,0.0,0.0,1.0,35.0,1.0,2018
Rachid Ghezzal,/rachid-ghezzal/profil/spieler/118287,26,RW,Algeria,5000000,14000000,AS Monaco,/as-monaco/startseite/verein/162,Leicester City,/leicester-city/startseite/verein/1003,in,2018,-9000000,31.0,1.82,left,FRA-Ligue 1,Monaco,Rachid Ghezzal,ALG,"FW,MF",25.0,1992.0,11.2,760.0,8.0,68.0,334.0,368.0,47.0,760.0,55.0,29.0,52.7,26.0,47.3,464.0,2957.0,1233.0,39.0,26.0,12.0,45.0,24.0,543.0,127.0,2018
Jonny Evans,/jonny-evans/profil/spieler/42412,30,CB,Northern Ireland,2000000,4000000,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,Leicester City,/leicester-city/startseite/verein/1003,in,2018,-2000000,35.0,1.88,both,ENG-Premier League,West Brom,Jonny Evans,NIR,DF,29.0,1988.0,25.2,1241.0,156.0,696.0,504.0,47.0,19.0,1241.0,10.0,10.0,100.0,0.0,0.0,613.0,3504.0,2043.0,21.0,10.0,1.0,10.0,6.0,599.0,9.0,2018
Riyad Mahrez,/riyad-mahrez/profil/spieler/171424,27,RW,Algeria,20000000,67800000,Leicester City,/leicester-city/startseite/verein/1003,Manchester City,/manchester-city/startseite/verein/281,out,2018,-47800000,32.0,1.79,left,ENG-Premier League,Leicester City,Riyad Mahrez,ALG,"MF,FW",26.0,1991.0,32.8,1880.0,18.0,181.0,921.0,820.0,109.0,1880.0,158.0,81.0,51.3,77.0,48.7,1157.0,8726.0,4009.0,121.0,100.0,53.0,92.0,64.0,1302.0,191.0,2018
Vicente Iborra,/vicente-iborra/profil/spieler/65467,30,DM,Spain,1200000,10000000,Leicester City,/leicester-city/startseite/verein/1003,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-8800000,35.0,1.9,right,ENG-Premier League,Leicester City,Vicente Iborra,ESP,MF,29.0,1988.0,15.7,1017.0,74.0,246.0,676.0,106.0,19.0,1017.0,14.0,11.0,78.6,3.0,21.4,493.0,2235.0,1169.0,8.0,8.0,0.0,7.0,7.0,665.0,15.0,2018
Mikel Merino,/mikel-merino/profil/spieler/338424,22,CM,Spain,50000000,7000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,43000000,27.0,1.89,left,ENG-Premier League,Newcastle Utd,Mikel Merino,ESP,MF,21.0,1996.0,15.0,1066.0,26.0,194.0,714.0,177.0,14.0,1066.0,40.0,28.0,70.0,12.0,30.0,570.0,2937.0,1494.0,25.0,21.0,3.0,33.0,34.0,604.0,15.0,2018
Mikel Merino,/mikel-merino/profil/spieler/338424,22,CM,Spain,50000000,12000000,Newcastle United,/newcastle-united/startseite/verein/762,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,out,2018,38000000,27.0,1.89,left,ENG-Premier League,Newcastle Utd,Mikel Merino,ESP,MF,21.0,1996.0,15.0,1066.0,26.0,194.0,714.0,177.0,14.0,1066.0,40.0,28.0,70.0,12.0,30.0,570.0,2937.0,1494.0,25.0,21.0,3.0,33.0,34.0,604.0,15.0,2018
Federico Fernández,/federico-fernandez/profil/spieler/85475,29,CB,Argentina,700000,6700000,Swansea City,/swansea-city/startseite/verein/2288,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-6000000,34.0,1.9,right,ENG-Premier League,Swansea City,Federico Fernández,ARG,DF,28.0,1989.0,29.7,1557.0,247.0,921.0,602.0,46.0,23.0,1557.0,4.0,1.0,25.0,3.0,75.0,665.0,3638.0,2321.0,5.0,2.0,0.0,6.0,4.0,866.0,8.0,2018
Fabian Schär,/fabian-schar/profil/spieler/135343,26,CB,Switzerland,10000000,4000000,Deportivo de La Coruña,/deportivo-la-coruna/startseite/verein/897,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,6000000,31.0,1.86,right,ESP-La Liga,La Coruña,Fabian Schär,SUI,DF,25.0,1991.0,24.7,1269.0,186.0,760.0,481.0,47.0,24.0,1269.0,20.0,14.0,70.0,6.0,30.0,597.0,3289.0,1869.0,18.0,15.0,2.0,13.0,5.0,663.0,5.0,2018
Martin Dúbravka,/martin-dubravka/profil/spieler/74960,29,GK,Slovakia,1500000,4000000,AC Sparta Prague,/ac-sparta-prag/startseite/verein/197,Newcastle United,/newcastle-united/startseite/verein/762,in,2018,-2500000,34.0,1.91,right,ENG-Premier League,Newcastle Utd,Martin Dúbravka,SVK,GK,28.0,1989.0,12.0,370.0,291.0,367.0,4.0,0.0,0.0,370.0,0.0,0.0,,0.0,,172.0,1184.0,742.0,0.0,1.0,1.0,0.0,0.0,128.0,0.0,2018
Chancel Mbemba,/chancel-mbemba/profil/spieler/203348,23,CB,DR Congo,20000000,4660000,Newcastle United,/newcastle-united/startseite/verein/762,FC Porto,/fc-porto/startseite/verein/720,out,2018,15340000,28.0,1.82,right,ENG-Premier League,Newcastle Utd,Chancel Mbemba,COD,DF,22.0,1994.0,7.5,368.0,35.0,163.0,167.0,43.0,2.0,368.0,11.0,8.0,72.7,3.0,27.3,148.0,784.0,430.0,9.0,5.0,1.0,2.0,3.0,150.0,11.0,2018
Jefferson Lerma,/jefferson-lerma/profil/spieler/262980,23,DM,Colombia,20000000,30500000,Levante UD,/ud-levante/startseite/verein/3368,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-10500000,28.0,1.79,right,ESP-La Liga,Levante,Jefferson Lerma,COL,MF,22.0,1994.0,23.7,1326.0,74.0,354.0,815.0,170.0,17.0,1326.0,22.0,19.0,86.4,3.0,13.6,660.0,3051.0,1472.0,19.0,18.0,1.0,17.0,13.0,762.0,28.0,2018
Dominic Solanke,/dominic-solanke/profil/spieler/258889,21,CF,England,20000000,21200000,Liverpool FC,/fc-liverpool/startseite/verein/31,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-1200000,25.0,1.86,right,ENG-Premier League,Liverpool,Dominic Solanke,ENG,FW,19.0,1997.0,6.6,306.0,9.0,16.0,120.0,176.0,53.0,306.0,14.0,9.0,64.3,5.0,35.7,184.0,843.0,345.0,15.0,15.0,5.0,34.0,17.0,236.0,48.0,2018
Diego Rico,/diego-rico/profil/spieler/249513,25,LB,Spain,3000000,15000000,CD Leganés,/cd-leganes/startseite/verein/1244,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,in,2018,-12000000,30.0,1.83,left,ESP-La Liga,Leganés,Diego Rico,ESP,DF,24.0,1993.0,24.8,1619.0,68.0,511.0,724.0,405.0,30.0,1619.0,36.0,20.0,55.6,16.0,44.4,724.0,3189.0,1635.0,50.0,41.0,11.0,30.0,20.0,747.0,107.0,2018
Max Gradel,/max-gradel/profil/spieler/28140,30,LW,Cote d'Ivoire,1600000,2000000,AFC Bournemouth,/afc-bournemouth/startseite/verein/989,FC Toulouse,/fc-toulouse/startseite/verein/415,out,2018,-400000,35.0,1.75,right,FRA-Ligue 1,Toulouse,Max Gradel,CIV,"FW,MF",29.0,1987.0,26.8,1436.0,26.0,182.0,471.0,812.0,109.0,1431.0,143.0,79.0,55.2,64.0,44.8,936.0,6749.0,3379.0,136.0,76.0,50.0,97.0,61.0,941.0,316.0,2018
Felipe Anderson,/felipe-anderson/profil/spieler/159372,25,RW,Brazil,15000000,38000000,SS Lazio,/lazio-rom/startseite/verein/398,West Ham United,/west-ham-united/startseite/verein/379,in,2018,-23000000,30.0,1.75,right,ITA-Serie A,Lazio,Felipe Anderson,BRA,"FW,MF",24.0,1993.0,12.9,930.0,6.0,65.0,386.0,513.0,65.0,930.0,114.0,77.0,67.5,37.0,32.5,610.0,5362.0,2830.0,98.0,80.0,41.0,46.0,47.0,665.0,140.0,2018
Issa Diop,/issa-diop/profil/spieler/272622,21,CB,France,18000000,25000000,FC Toulouse,/fc-toulouse/startseite/verein/415,West Ham United,/west-ham-united/startseite/verein/379,in,2018,-7000000,26.0,1.94,right,FRA-Ligue 1,Toulouse,Issa Diop,FRA,DF,20.0,1997.0,34.0,1570.0,164.0,713.0,821.0,52.0,29.0,1570.0,15.0,11.0,73.3,4.0,26.7,869.0,4533.0,2850.0,14.0,9.0,1.0,10.0,5.0,832.0,1.0,2018
Andriy Yarmolenko,/andriy-yarmolenko/profil/spieler/69015,28,RW,Ukraine,2000000,20000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,West Ham United,/west-ham-united/startseite/verein/379,in,2018,-18000000,33.0,1.89,left,GER-Bundesliga,Dortmund,Andriy Yarmolenko,UKR,"FW,MF",27.0,1989.0,11.5,578.0,8.0,48.0,247.0,289.0,66.0,578.0,44.0,16.0,36.4,28.0,63.6,371.0,2712.0,1341.0,40.0,25.0,20.0,19.0,19.0,462.0,114.0,2018
Lucas Pérez,/lucas-perez/profil/spieler/73185,29,CF,Spain,800000,4400000,Arsenal FC,/fc-arsenal/startseite/verein/11,West Ham United,/west-ham-united/startseite/verein/379,in,2018,-3600000,34.0,1.8,left,ESP-La Liga,La Coruña,Lucas Pérez,ESP,FW,28.0,1988.0,31.1,1239.0,6.0,56.0,444.0,759.0,124.0,1235.0,70.0,32.0,45.7,37.0,52.9,648.0,3491.0,1454.0,56.0,34.0,29.0,61.0,42.0,796.0,215.0,2018
Cheikhou Kouyaté,/cheikhou-kouyate/profil/spieler/66934,28,DM,Senegal,2000000,10700000,West Ham United,/west-ham-united/startseite/verein/379,Crystal Palace,/crystal-palace/startseite/verein/873,out,2018,-8700000,33.0,1.89,right,ENG-Premier League,West Ham,Cheikhou Kouyaté,SEN,MF,27.0,1989.0,31.1,1307.0,61.0,316.0,767.0,242.0,40.0,1307.0,33.0,20.0,60.6,13.0,39.4,585.0,3476.0,1326.0,27.0,20.0,0.0,50.0,29.0,702.0,64.0,2018
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,24,CF,Spain,10000000,13000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Watford FC,/fc-watford/startseite/verein/1010,in,2018,-3000000,29.0,1.77,right,ENG-Premier League,Watford,Gerard Deulofeu,ESP,"FW,MF",23.0,1994.0,4.8,215.0,5.0,20.0,80.0,123.0,25.0,215.0,27.0,17.0,63.0,10.0,37.0,152.0,1047.0,548.0,23.0,14.0,11.0,16.0,7.0,147.0,32.0,2018
Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476,24,CF,Spain,10000000,13000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Watford FC,/fc-watford/startseite/verein/1010,in,2018,-3000000,29.0,1.77,right,ESP-La Liga,Barcelona,Gerard Deulofeu,ESP,"MF,FW",23.0,1994.0,5.6,355.0,2.0,36.0,98.0,223.0,50.0,355.0,21.0,7.0,33.3,14.0,66.7,248.0,1530.0,786.0,32.0,12.0,22.0,8.0,8.0,283.0,84.0,2018
Adam Masina,/adam-masina/profil/spieler/286949,24,LB,Morocco,2500000,5000000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Watford FC,/fc-watford/startseite/verein/1010,in,2018,-2500000,29.0,1.91,left,ITA-Serie A,Bologna,Adam Masina,MAR,DF,23.0,1994.0,31.4,2047.0,128.0,615.0,1037.0,415.0,40.0,2047.0,36.0,20.0,55.6,16.0,44.4,1035.0,5229.0,2852.0,57.0,43.0,3.0,43.0,27.0,1160.0,108.0,2018
Ben Foster,/ben-foster/profil/spieler/13572,35,GK,England,0,2800000,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,Watford FC,/fc-watford/startseite/verein/1010,in,2018,-2800000,40.0,1.93,left,ENG-Premier League,West Brom,Ben Foster,ENG,GK,34.0,1983.0,37.0,1225.0,982.0,1198.0,28.0,0.0,0.0,1225.0,2.0,2.0,100.0,0.0,0.0,517.0,4336.0,3082.0,0.0,0.0,0.0,3.0,0.0,365.0,0.0,2018
Marc Navarro,/marc-navarro/profil/spieler/335245,22,RB,Spain,250000,2000000,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,Watford FC,/fc-watford/startseite/verein/1010,in,2018,-1750000,28.0,1.88,right,ESP-La Liga,Espanyol,Marc Navarro,ESP,DF,22.0,1995.0,12.3,731.0,24.0,209.0,309.0,218.0,18.0,731.0,29.0,9.0,31.0,20.0,69.0,341.0,1362.0,637.0,16.0,22.0,6.0,22.0,11.0,394.0,87.0,2018
Richarlison,/richarlison/profil/spieler/378710,21,CF,Brazil,48000000,39200000,Watford FC,/fc-watford/startseite/verein/1010,Everton FC,/fc-everton/startseite/verein/29,out,2018,8800000,26.0,1.84,right,ENG-Premier League,Watford,Richarlison,BRA,"FW,MF",20.0,1997.0,31.4,1359.0,35.0,174.0,531.0,671.0,187.0,1359.0,99.0,47.0,47.5,52.0,52.5,912.0,5936.0,2968.0,126.0,74.0,68.0,117.0,80.0,1031.0,306.0,2018
